"Title","Default language","Default text","zh-tw text","Variant status","Placeholder"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","","","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","","","dc.mega_menu-submit_a_ticket"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","","","dc.mega_menu-fix_delivery_method"
"Mega Menu::Contact Us","English","Contact Us","","","dc.mega_menu-contact_us"
"Mega Menu::My Tickets","English","My Tickets","","","dc.mega_menu-my_tickets"
"Homepage::How can we help?","English","How can we help?","","","dc.homepage-how_can_we_help"
"Mega Menu::Project Details","English","Project Details","","","dc.mega_menu-project_details"
"Homepage::Browse by Product","English","Browse by Product","","","dc.homepage-browse_by_product"
"Homepage::Search the Help Center","English","Search the Help Center","","","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","","","dc.homepage-security_updates"
"Homepage::See More","English","See More","","","dc.homepage-see_more"
"Homepage::Events","English","Events","","","dc.homepage-events"
"Homepage::Portal 5.2","English","Portal 5.2","","","dc.homepage-portal_5_2"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","","","dc.homepage-announcement_subscribe_description"
"Homepage::Product Releases","English","Product Releases","","","dc.homepage-product_releases"
"Homepage::Announcement Subscribe Button","English","Subscribe","","","dc.homepage-announcement_subscribe_button"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","","","dc.homepage-fix_pack_updates"
"Homepage::Still Need Help?","English","Still Need Help?","","","dc.homepage-still_need_help"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","","","dc.homepage-announcement_subscribe_heading"
"Homepage::Contact Us Description","English","Speak directly with a Liferay Support team member by phone.","","","dc.homepage-contact_us_description"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and receive help from a Liferay Support Team member.","","","dc.homepage-submit_a_ticket_description"
"Homepage::Ask the Community","English","Ask the Community","","","dc.homepage-ask_the_community"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","","","dc.homepage-contact_us_asterisk_description"
"Homepage::Liferay University","English","Liferay University","","","dc.homepage-liferay_university"
"Homepage::Ask the Community Description","English","Learn and share knowledge with others in the global Liferay community.","","","dc.homepage-ask_the_community_description"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","","","dc.homepage-liferay_university_description"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","","","dc.homepage-ask_the_community_asterisk_description"
"Homepage: Learn More","English","Learn More","","","dc.homepage_learn_more"
"Homepage: Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","","","dc.homepage_liferay_global_services_description"
"Homepage: Liferay Global Services","English","Liferay Global Services","","","dc.homepage_liferay_global_services"
"Footer::Subscription","English","Subscription","","","dc.footer-subscription"
"Footer:: Contact Us","English","Contact Us","","","dc.footer-_contact_us"
"Footer::Liferay.com","English","Liferay.com","","","dc.footer-liferay_com"
"Footer::Related Sites","English","Related Sites","","","dc.footer-related_sites"
"Footer::Marketplace","English","Marketplace","","","dc.footer-marketplace"
"7.1::Latest Release Card","English","Latest Release","","","dc.7_1-latest_release_card"
"Footer::All Rights Reserved","English","All Rights Reserved","","","dc.footer-all_rights_reserved"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","","","dc.7_1-compatibility_matrix_card_description"
"7.1::Top Resources Tab","English","Top Resources","","","dc.7_1-top_resources_tab"
"7.1::Fix Packs Card","English","Fix Packs","","","dc.7_1-fix_packs_card"
"7.1::Latest Release Card Description","English","Download the latest release of Liferay DXP 7.1.","","","dc.7_1-latest_release_card_description"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","","","dc.7_1-fix_packs_card_description"
"7.1::Activation Keys Card Description","English","Activate your Liferay DXP 7.1 environments to get started on your project.","","","dc.7_1-activation_keys_card_description"
"7.1::Upgrading Card","English","Upgrading","","","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","","","dc.7_1-upgrading_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","","","dc.7_1-announcements_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","","","dc.7_1-service_packs_archive_card"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP 7.1.","","","dc.7_1-security_advisories_card_description"
